question,answer
Which river is the main tributary of the Ob River in Russia?,The main tributary of the Ob River in Russia is the Irtysh River.
What river delta is known for its mangrove forests and tiger population in Bangladesh and India?,"The river delta known for its mangrove forests and tiger population in Bangladesh and India is the Sundarbans Delta (formed by the Ganges, Brahmaputra, and Meghna rivers)."
"Which river flows through Prague, Czech Republic?","The river that flows through Prague, Czech Republic is the Vltava River."
What is the longest river entirely within the United Kingdom?,The longest river entirely within the United Kingdom is the River Severn.
Which river is associated with the legend of the Lorelei in Germany?,The river associated with the legend of the Lorelei in Germany is the Rhine River.
What is the term for the area of land drained by a river and its tributaries?,The term for the area of land drained by a river and its tributaries is a drainage basin (or watershed).
"Which river flows through Johannesburg, South Africa?",There is no major river that flows directly through Johannesburg. The Jukskei River is a smaller river that runs near Johannesburg.
What is the name of the river known as the Yellow River in China?,The river known as the Yellow River in China is the Huang He.
Which river is known for its source in the Swiss Alps and flows into the North Sea?,The river known for its source in the Swiss Alps and flows into the North Sea is the Rhine River.
What is the name of the process by which a river wears away at its bed and banks?,The name of the process by which a river wears away at its bed and banks is erosion.
"Which river flows through Moscow, Russia?","The river that flows through Moscow, Russia is the Moskva River."
"What is the name of the river that flows through Dublin, Ireland?","The name of the river that flows through Dublin, Ireland is the River Liffey."
"Which river is known for its dramatic waterfalls, including the Victoria Falls, in Southern Africa?","The river known for its dramatic waterfalls, including the Victoria Falls, in Southern Africa is the Zambezi River."
What is the term for the point where a river empties into another body of water?,The term for the point where a river empties into another body of water is the mouth.
